1,150,300,1000,100
2,貧困,平民,裕福,落差
3,知識,体力,貧困,貿易
4,社会的,民主的,抽象的,論理的
5,開発途上国,発展途上国,民主主義国,社会主義国
6,栄養,感覚,危険,薬物
7,生産性,合理性,還元性,解離性
8,多様性,画一性,均一,均等
9,農業生産能力,社会的,しきたり,感染症
10,貿易,流域,再利用,根絶
11,妊産婦,ワクチン,栄養,知識
12,感染症,無償,論理的,貧困
13,生活習慣,環境汚染,栄養,危険
14,環境汚染,ワクチン,しきたり,根絶
15,ワクチン,体力,安全,感覚
16,死傷者,精神,合理性,無償
17,無償,有償,品質,保証
18,職業スキル,無償,安心,多様性
19,職業訓練,生態系,平民,職業スキル
20,書き,止め,払い,はね
21,安心,危険,生死,確認
22,SDGs,SPA,GCP,AWS
23,女性,男性,保険,知識
24,根絶,蔓延,生息,生活
25,しきたり,生活習慣,安全性,ワクチン
26,平等,不公平,不親切,安心
27,自己決定,他人,裕福,貧困
28,法律,違法,公平,不公平
29,安全,危険,生死,生息
30,再利用,無償,平民,知識
31,紛争,不平等,危険,安心
32,生態系,弱肉強食,多様性,農業
33,地域,世界,日本,アメリカ
34,品質,価格,効率,速度
35,再生可能エネルギー,インターネット,火力発電,原子力発電
36,2,1.5,2.5,3
37,発展途上国,先進国,貧しい国,豊かな国
38,経済成長率,経済力,経済発展度,経済生産性
39,経済生産性,経済成長率,経済力,経済発展度
40,環境破壊,格差,差別,無駄
41,貿易,未来,発展,国民
42,若者,子供,障がい者,老人
43,喜び,悲しみ,忙しさ,大変さ
44,経済発展,環境汚染,景気,経済基準
45,インフラ,環境,政策,経済
46,技術革新,経済発展,インフレ,経済成長
47,商品,文書,伝統品,時間
48,すべての人,子供,差別されている人,大人
49,所得格差,差別,環境汚染,デフレ
50,平等,発展,差別,未来
51,開発途上国,スラム,先進国,国民
52,必要,しよう,不必要,求める
53,3,2,4,5
54,お金,政府,ゲーム,犯罪
55,自然災害,差別,環境汚染,地球温暖化
56,地域,公共機関,国民,国
57,スラム,廃棄物,温室効果ガス,差物
58,手頃,新鮮,便利,安心
59,文化遺産,環境,地球,絶滅危惧種
60,最小限,最大限,半分,1/3
61,10,3,5,8
62,半分,1/3,1/4,2/3
63,3R,PDCA,4R,5W1H
64,持続可能,グローバル,便利,安心
65,開発途上国,貧しい国,先進国,スラム
66,観光業,発展途上,貧しい経済,スラム
67,回復力,再生力,対応力,忍耐力
68,気候,大陸,砂漠化,酸性雨
69,緑,赤,青,黄
70,コミュニティ,市街,国,大陸
71,メカニズム,法律,サイエンス,プログラム
72,強靭性,凶暴性,暴力性,汎用性
73,ゴミ,魚,糞、尿,死骸
74,生態系,生物,透明度,水質
75,ＣＯ２,ゴミ,アンモニア,Ｏ２
76,乱獲,殺戮,養殖,食物連鎖
77,酸性化,汚染化,蒸発化,水面上昇
78,接続可能,対応可能,再生可能,回復可能
79,生態系,生命,透明度,美しさ
80,森林,大気,海,土
81,砂漠化,風化,温暖化,地震
82,生態系,生物,大気,土
83,絶命,冬眠,遭難,死亡
84,遺伝子,連鎖,つながり,生態系
85,死,怪我,いじめ,被害
86,子供,怪我人,ジェンダー,障害者
87,法,警察,大国,神
88,犯罪集団,外来種,外国人,動物
89,意思決定,国会,選挙,立候補
90,開発途上国,先進国,島国,同盟国
91,財政力,再生力,対応力,戦闘力
92,先進国,大国,同盟国,島国
93,資金源,法律,政策,契約
94,知識共有,同一化,差別化,平等
95,差別的,客観的,抽象的,楽観的
96,リーダーシップ,個人,ホスピタリティ,他国
